n_top_genes,min_genes,min_cells,normalize_target,n_latent,n_hidden,n_layers,learning_rate,dropout_rate,use_layer_norm,use_batch_norm,max_epochs,batch_silhouette_pca,celltype_silhouette_pca,batch_silhouette_scvi,celltype_silhouette_scvi,batch_effect_reduction,bio_preservation,optimization_score
2000,300,8,15751.32049977972,10,96,1,0.0053994844097874,0.3,True,True,100,0.0019931511,0.19507763,0.0037466146,0.25106016,-0.0017534634,0.25106016,-0.2483101190300658
2000,300,8,15751.32049977972,10,96,1,0.0053994844097874,0.3,True,True,100,0.0019931511487811,0.1950776278972625,0.0034609395079314,0.238784521818161,-0.0014677883591502,0.238784521818161,-0.2363201578846201
1500,150,3,4059.611610484306,20,160,2,0.0016738085788752,0.0,False,False,100,0.0018388498574495,0.2165936380624771,0.0027559346053749,0.0996064096689224,-0.0009170847479254,0.0996064096689224,-0.0977698999922722
1500,250,7,1238.5137298860925,22,96,1,0.007902619549708232,0.5,True,False,100,0.002155599882826209,0.24411959946155548,0.0042135040275752544,0.33306726813316345,-0.0020579041447490454,0.33306726813316345,-0.3299315640470013
