number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_max_epochs,params_max_pct_mito,params_min_cells,params_min_genes,params_n_hidden,params_n_latent,params_n_layers,params_n_top_genes,params_norm_method,state
156,0.01,2025-05-05 19:37:38.494411,2025-05-05 19:37:54.934901,0 days 00:00:16.440490,,,,0.05,10,1000,,10.0,1.0,4000,sctransform,COMPLETE
157,0.01,2025-05-05 19:37:54.942474,2025-05-05 19:37:55.071910,0 days 00:00:00.129436,,,,0.25,10,1000,,30.0,2.0,4000,sctransform,COMPLETE
158,0.01,2025-05-05 19:37:55.078540,2025-05-05 19:37:55.123994,0 days 00:00:00.045454,,,,0.25,10,1000,,30.0,2.0,4000,sctransform,COMPLETE
159,0.01,2025-05-05 19:37:55.130374,2025-05-05 19:37:55.180395,0 days 00:00:00.050021,,,,0.25,10,1000,,30.0,2.0,4000,sctransform,COMPLETE
160,0.01,2025-05-05 19:37:55.196114,2025-05-05 19:37:55.234909,0 days 00:00:00.038795,,,,0.25,10,1000,,30.0,2.0,4000,sctransform,COMPLETE
161,0.01,2025-05-05 19:37:55.240977,2025-05-05 19:37:56.339903,0 days 00:00:01.098926,,,,0.25,3,300,,30.0,2.0,3000,sctransform,COMPLETE
162,0.01,2025-05-05 19:37:56.345882,2025-05-05 19:37:56.372497,0 days 00:00:00.026615,,,,0.25,10,500,,10.0,1.0,2000,total,COMPLETE
163,0.01,2025-05-05 19:37:56.378127,2025-05-05 19:37:56.415756,0 days 00:00:00.037629,,,,0.15000000000000002,3,1000,,30.0,2.0,3000,sctransform,COMPLETE
164,0.01,2025-05-05 19:37:56.421871,2025-05-05 19:38:47.344315,0 days 00:00:50.922444,,,,0.2,3,300,,30.0,1.0,1000,sctransform,COMPLETE
165,0.01,2025-05-05 19:38:47.350396,2025-05-05 19:38:47.453664,0 days 00:00:00.103268,,,,0.15000000000000002,10,200,,20.0,2.0,2000,total,COMPLETE
166,0.01,2025-05-05 19:38:47.459371,2025-05-05 19:39:03.157191,0 days 00:00:15.697820,,,,0.2,3,1000,,10.0,1.0,4000,sctransform,COMPLETE
167,0.01,2025-05-05 19:39:03.163881,2025-05-05 19:39:03.438870,0 days 00:00:00.274989,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
168,0.01,2025-05-05 19:39:03.444951,2025-05-05 19:39:03.578540,0 days 00:00:00.133589,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
169,0.01,2025-05-05 19:39:03.585138,2025-05-05 19:39:03.722551,0 days 00:00:00.137413,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
170,0.01,2025-05-05 19:39:03.729136,2025-05-05 19:39:03.863125,0 days 00:00:00.133989,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
171,0.01,2025-05-05 19:39:03.869997,2025-05-05 19:39:48.687142,0 days 00:00:44.817145,,,,0.05,10,500,,10.0,1.0,3000,sctransform,COMPLETE
172,0.01,2025-05-05 19:39:48.693899,2025-05-05 19:40:50.118834,0 days 00:01:01.424935,,,,0.1,3,300,,30.0,1.0,2000,sctransform,COMPLETE
173,0.01,2025-05-05 19:40:50.124765,2025-05-05 19:40:50.181043,0 days 00:00:00.056278,,,,0.2,10,1000,,20.0,2.0,3000,total,COMPLETE
174,0.01,2025-05-05 19:40:50.186844,2025-05-05 19:41:40.408636,0 days 00:00:50.221792,,,,0.25,3,300,,10.0,1.0,2000,sctransform,COMPLETE
175,0.01,2025-05-05 19:41:40.414722,2025-05-05 19:42:25.169452,0 days 00:00:44.754730,,,,0.2,10,200,,10.0,2.0,1000,sctransform,COMPLETE
176,0.01,2025-05-05 19:42:25.176349,2025-05-05 19:42:25.279372,0 days 00:00:00.103023,,,,0.15000000000000002,3,500,,30.0,1.0,2000,total,COMPLETE
177,0.01,2025-05-05 19:42:25.285954,2025-05-05 19:42:26.596002,0 days 00:00:01.310048,,,,0.2,3,200,,20.0,2.0,2000,sctransform,COMPLETE
178,0.01,2025-05-05 19:42:26.602836,2025-05-05 19:42:27.924695,0 days 00:00:01.321859,,,,0.2,3,200,,20.0,2.0,2000,sctransform,COMPLETE
179,0.01,2025-05-05 19:42:27.931675,2025-05-05 19:42:29.233979,0 days 00:00:01.302304,,,,0.2,3,200,,30.0,2.0,2000,sctransform,COMPLETE
180,0.01,2025-05-05 19:42:29.240777,2025-05-05 19:42:30.570161,0 days 00:00:01.329384,,,,0.2,3,200,,20.0,2.0,2000,sctransform,COMPLETE
181,0.01,2025-05-05 19:42:30.577145,2025-05-05 19:42:31.662773,0 days 00:00:01.085628,,,,0.1,3,300,,10.0,2.0,3000,sctransform,COMPLETE
182,0.01,2025-05-05 19:42:31.668808,2025-05-05 19:42:47.741420,0 days 00:00:16.072612,,,,0.05,10,1000,,30.0,2.0,2000,sctransform,COMPLETE
183,0.01,2025-05-05 19:42:47.760709,2025-05-05 19:43:33.444119,0 days 00:00:45.683410,,,,0.2,3,300,,10.0,1.0,4000,sctransform,COMPLETE
184,0.01,2025-05-05 19:43:33.450078,2025-05-05 19:43:33.557397,0 days 00:00:00.107319,,,,0.15000000000000002,10,200,,20.0,2.0,3000,total,COMPLETE
185,0.01,2025-05-05 19:43:33.563321,2025-05-05 19:43:33.595910,0 days 00:00:00.032589,,,,0.2,3,1000,,30.0,1.0,1000,sctransform,COMPLETE
186,0.01,2025-05-05 19:43:33.602600,2025-05-05 19:44:28.073084,0 days 00:00:54.470484,,,,0.25,10,300,,10.0,2.0,2000,sctransform,COMPLETE
187,0.01,2025-05-05 19:44:28.079255,2025-05-05 19:44:28.108886,0 days 00:00:00.029631,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,total,COMPLETE
188,0.01,2025-05-05 19:44:28.114811,2025-05-05 19:44:28.143796,0 days 00:00:00.028985,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,total,COMPLETE
189,0.01,2025-05-05 19:44:28.149615,2025-05-05 19:44:28.177511,0 days 00:00:00.027896,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,total,COMPLETE
190,0.01,2025-05-05 19:44:28.183326,2025-05-05 19:44:28.211204,0 days 00:00:00.027878,,,,0.15000000000000002,10,1000,,20.0,2.0,2000,total,COMPLETE
191,0.01,2025-05-05 19:44:28.217149,2025-05-05 19:44:28.273523,0 days 00:00:00.056374,,,,0.15000000000000002,10,1000,,20.0,1.0,3000,total,COMPLETE
192,0.01,2025-05-05 19:44:28.279330,2025-05-05 19:45:23.307071,0 days 00:00:55.027741,,,,0.1,3,500,,20.0,2.0,2000,sctransform,COMPLETE
193,0.01,2025-05-05 19:45:23.313815,2025-05-05 19:45:23.456160,0 days 00:00:00.142345,,,,0.15000000000000002,10,300,,30.0,1.0,2000,total,COMPLETE
194,0.01,2025-05-05 19:45:23.462778,2025-05-05 19:45:23.511568,0 days 00:00:00.048790,,,,0.2,3,1000,,10.0,2.0,4000,sctransform,COMPLETE
195,0.01,2025-05-05 19:45:23.517910,2025-05-05 19:46:34.017180,0 days 00:01:10.499270,,,,0.15000000000000002,10,200,,20.0,1.0,3000,sctransform,COMPLETE
196,0.01,2025-05-05 19:46:34.023908,2025-05-05 19:46:34.066882,0 days 00:00:00.042974,,,,0.2,3,1000,,30.0,2.0,1000,sctransform,COMPLETE
197,0.01,2025-05-05 19:46:34.072876,2025-05-05 19:46:35.194168,0 days 00:00:01.121292,,,,0.1,3,300,,10.0,1.0,1000,sctransform,COMPLETE
198,0.01,2025-05-05 19:46:35.200152,2025-05-05 19:46:36.302081,0 days 00:00:01.101929,,,,0.1,3,300,,10.0,1.0,1000,sctransform,COMPLETE
199,0.01,2025-05-05 19:46:36.308525,2025-05-05 19:46:37.408405,0 days 00:00:01.099880,,,,0.1,3,300,,20.0,1.0,1000,sctransform,COMPLETE
200,0.01,2025-05-05 19:46:37.414727,2025-05-05 19:46:38.500234,0 days 00:00:01.085507,,,,0.1,3,300,,20.0,1.0,1000,sctransform,COMPLETE
201,0.01,2025-05-05 19:46:38.506592,2025-05-05 19:46:38.623350,0 days 00:00:00.116758,,,,0.1,3,300,,10.0,1.0,2000,total,COMPLETE
202,0.01,2025-05-05 19:46:38.629258,2025-05-05 19:46:38.784746,0 days 00:00:00.155488,,,,0.25,10,500,,10.0,1.0,3000,sctransform,COMPLETE
203,0.01,2025-05-05 19:46:38.794413,2025-05-05 19:46:39.896579,0 days 00:00:01.102166,,,,0.05,3,300,,20.0,2.0,2000,sctransform,COMPLETE
204,0.01,2025-05-05 19:46:39.902565,2025-05-05 19:46:57.206830,0 days 00:00:17.304265,,,,0.1,10,1000,,10.0,1.0,1000,sctransform,COMPLETE
205,0.01,2025-05-05 19:46:57.213464,2025-05-05 19:46:57.294085,0 days 00:00:00.080621,,,,0.2,3,200,,20.0,2.0,4000,total,COMPLETE
